caller_id,employee_id,call_start,wait_time,call_time,issue_category,satisfaction
C066,E02,2020-09-28T10:21:25Z,228,63,other,2
C067,E02,2020-05-17T19:02:59Z,214,48,sales,3
C068,E02,2020-04-02T01:02:20Z,195,64,other,3
C069,E02,2020-12-05T17:05:54Z,223,66,tech,2
C070,E02,2020-10-28T13:59:54Z,169,35,returns,4
C071,E02,2020-03-10T05:20:31Z,212,92,sales,3
C072,E02,2020-05-07T17:53:20Z,255,82,returns,2
C073,E02,2020-07-10T15:42:42Z,231,71,tech,2
C074,E02,2020-02-25T03:00:31Z,189,37,returns,3
C075,E02,2020-01-05T23:47:21Z,168,14,tech,4
C076,E02,2020-03-16T06:19:21Z,193,49,tech,2
C077,E02,2020-06-11T17:55:31Z,190,72,tech,3
C078,E02,2020-12-21T03:54:34Z,230,63,sales,2
C079,E02,2020-02-25T11:14:16Z,155,47,other,4
C080,E02,2020-01-22T09:39:22Z,151,51,tech,4
C081,E02,2020-11-25T01:54:44Z,113,40,tech,5
C082,E02,2020-10-17T11:10:02Z,194,90,tech,3
C083,E02,2020-02-23T00:52:36Z,241,91,tech,2
C084,E02,2020-11-21T20:58:10Z,213,63,returns,3
C085,E02,2020-01-15T17:11:01Z,217,75,tech,2
C086,E02,2020-05-02T17:23:37Z,153,54,returns,4
C087,E02,2020-09-21T16:33:39Z,157,52,returns,4
C088,E02,2020-05-27T00:24:20Z,249,67,tech,1
C089,E02,2020-08-04T11:14:08Z,279,75,returns,1
C090,E02,2020-10-26T21:34:48Z,144,47,other,4
C091,E02,2020-02-19T21:56:43Z,149,68,returns,4
C092,E02,2020-02-13T13:44:05Z,156,61,other,4
C093,E02,2020-10-12T13:15:30Z,256,73,tech,1
C094,E02,2020-07-07T11:38:08Z,162,65,tech,4
C095,E02,2020-01-24T02:31:15Z,200,73,sales,3
C096,E02,2020-09-28T06:31:24Z,210,96,tech,2
C097,E02,2020-11-10T08:50:20Z,225,60,tech,2
C098,E02,2020-09-06T21:27:22Z,255,66,tech,2
C099,E02,2020-04-04T02:43:03Z,185,95,other,3
C100,E02,2020-07-13T12:48:37Z,208,54,returns,3
C101,E02,2020-12-24T00:58:27Z,178,69,tech,3
C102,E02,2020-02-13T06:09:39Z,263,60,returns,2
C103,E02,2020-01-16T03:21:28Z,101,61,returns,5
C104,E02,2020-09-26T10:15:16Z,192,40,sales,3
C105,E02,2020-05-21T13:36:09Z,164,28,returns,4
C106,E02,2020-10-19T07:55:28Z,212,34,sales,3
C107,E02,2020-07-13T06:49:59Z,188,43,other,3
C108,E02,2020-10-26T06:46:53Z,250,75,tech,2
C109,E02,2020-10-17T20:01:26Z,108,60,tech,5
C110,E02,2020-05-28T14:15:07Z,74,46,tech,5
C111,E02,2020-04-17T23:27:39Z,194,68,returns,3
C112,E02,2020-11-18T07:55:37Z,212,52,tech,2
C113,E02,2020-04-27T15:24:40Z,248,89,sales,2
C114,E02,2020-05-22T18:41:24Z,200,57,returns,3
C115,E02,2020-05-28T13:58:38Z,221,33,other,2
C116,E02,2020-10-04T12:46:49Z,75,38,tech,5
C117,E03,2020-11-26T16:25:05Z,111,59,returns,5
C118,E03,2020-02-15T17:05:02Z,107,34,tech,5
C119,E03,2020-07-31T20:02:34Z,189,45,returns,4
C120,E03,2020-12-09T20:29:39Z,122,51,tech,4
C121,E03,2020-08-13T01:54:58Z,242,54,tech,2
C122,E03,2020-06-09T20:04:12Z,265,52,returns,1
C123,E03,2020-08-09T04:26:44Z,138,40,tech,4
C124,E03,2020-07-23T22:52:09Z,195,28,tech,3
C125,E03,2020-03-31T01:37:19Z,204,52,tech,3
C126,E03,2020-06-04T15:23:42Z,184,26,tech,3
C127,E03,2020-04-24T18:02:57Z,245,80,returns,2
C128,E03,2020-07-20T09:12:20Z,117,32,returns,5
C129,E03,2020-11-17T21:17:15Z,69,28,sales,5
C130,E03,2020-05-21T13:21:53Z,81,30,other,5
C131,E03,2020-01-06T07:36:02Z,251,25,tech,2
C132,E03,2020-11-04T22:56:33Z,152,32,returns,4
C133,E03,2020-12-17T09:15:28Z,227,28,tech,2
C134,E03,2020-07-17T15:45:08Z,179,38,other,4
C135,E03,2020-09-20T02:38:18Z,168,51,tech,4
C136,E03,2020-09-19T14:41:11Z,195,18,tech,3
C137,E03,2020-08-18T11:56:30Z,181,22,tech,3
C138,E03,2020-09-25T22:22:06Z,216,58,sales,3
C139,E03,2020-06-17T03:58:21Z,58,18,sales,5
C140,E03,2020-12-18T06:58:51Z,198,43,returns,3
C141,E03,2020-12-14T23:01:30Z,211,47,tech,2
C142,E03,2020-07-21T03:43:00Z,217,35,returns,3
C143,E03,2020-03-07T04:17:49Z,102,40,sales,5
C144,E03,2020-03-05T03:17:05Z,166,36,sales,4
C145,E03,2020-04-07T22:21:36Z,179,26,tech,4
C146,E03,2020-12-30T22:31:27Z,162,49,returns,4
C147,E03,2020-07-17T18:18:24Z,139,19,sales,4
C148,E03,2020-01-13T19:43:23Z,131,14,tech,5
C149,E03,2020-05-22T08:20:08Z,249,40,tech,1
C150,E03,2020-05-21T15:30:44Z,211,37,returns,3
C151,E03,2020-11-29T07:12:46Z,216,45,other,2
C152,E03,2020-03-01T01:12:14Z,203,53,tech,3
C153,E03,2020-02-08T15:14:29Z,257,42,tech,2
C154,E03,2020-01-02T02:12:52Z,125,8,returns,5
C155,E03,2020-08-23T22:10:36Z,157,25,tech,4
C156,E03,2020-10-25T02:56:55Z,180,50,returns,4
C157,E03,2020-04-27T14:34:37Z,176,55,tech,4
C158,E03,2020-05-28T07:56:03Z,216,20,tech,2
C159,E03,2020-01-01T00:28:14Z,183,42,tech,3
C160,E03,2020-06-06T14:37:44Z,260,64,returns,2
C161,E03,2020-09-17T00:59:55Z,232,49,other,2
C162,E03,2020-03-18T15:27:33Z,213,39,other,2
C163,E03,2020-11-20T08:38:45Z,102,19,returns,5
C164,E03,2020-07-17T01:40:56Z,207,26,tech,2
C165,E03,2020-03-16T00:43:46Z,135,27,returns,5
C166,E03,2020-07-14T06:25:33Z,242,42,returns,2
C167,E03,2020-10-22T21:08:12Z,199,10,other,3
C168,E03,2020-07-12T18:42:14Z,200,33,tech,3
C169,E03,2020-11-10T23:53:40Z,150,30,returns,5
C170,E03,2020-10-10T19:12:33Z,260,46,other,2
C171,E03,2020-03-10T03:41:53Z,200,14,other,3
C172,E03,2020-06-05T22:59:39Z,193,33,returns,3
C173,E03,2020-01-10T14:25:17Z,128,45,returns,5
C174,E03,2020-10-12T20:10:01Z,274,46,tech,1
C175,E03,2020-09-06T12:50:40Z,243,67,sales,2
C176,E03,2020-08-23T03:02:30Z,120,41,returns,5
C177,E03,2020-12-06T19:59:35Z,202,29,returns,3
C178,E03,2020-09-04T16:34:51Z,101,10,other,5
C179,E03,2020-08-18T02:41:40Z,48,23,returns,5
C180,E03,2020-10-03T01:11:44Z,227,26,other,2
C181,E03,2020-05-25T03:58:27Z,96,64,tech,5
C182,E03,2020-10-02T18:50:19Z,206,12,returns,3
C183,E03,2020-07-03T21:17:07Z,204,57,tech,3
C184,E03,2020-05-05T10:48:31Z,197,20,returns,3
C185,E03,2020-09-29T05:46:17Z,250,63,tech,1
C186,E03,2020-02-22T18:47:49Z,236,58,returns,3
C187,E03,2020-10-12T13:12:46Z,246,51,tech,1
C188,E03,2020-05-05T01:10:48Z,169,20,returns,4
C189,E03,2020-03-13T13:16:33Z,149,23,returns,4
C190,E03,2020-12-25T23:05:17Z,177,61,tech,3
C191,E03,2020-10-10T01:01:07Z,224,49,tech,2
C192,E03,2020-09-19T14:59:47Z,186,12,tech,3
C193,E03,2020-12-28T05:16:02Z,192,60,tech,3
C194,E03,2020-11-27T14:46:55Z,235,58,returns,2
C195,E03,2020-12-23T19:38:33Z,140,56,tech,4
C196,E03,2020-07-19T10:14:51Z,199,32,returns,3
C197,E03,2020-05-21T00:09:29Z,210,87,returns,3
C198,E03,2020-10-25T11:46:39Z,235,33,returns,2
C199,E03,2020-11-03T05:10:45Z,217,67,sales,3
C200,E03,2020-09-28T22:54:09Z,214,50,tech,2
C201,E03,2020-01-14T07:38:29Z,270,42,returns,2
C202,E03,2020-04-08T21:34:58Z,151,61,returns,4
C203,E03,2020-01-01T00:05:04Z,230,40,returns,2
C204,E03,2020-08-23T13:04:24Z,214,20,tech,3
C205,E03,2020-12-21T07:30:40Z,180,12,returns,4
C206,E04,2020-07-09T01:00:56Z,118,85,sales,5
C207,E04,2020-02-23T00:17:46Z,263,87,sales,2
C208,E04,2020-04-24T15:08:39Z,121,76,returns,5
C209,E04,2020-06-13T10:44:22Z,176,74,tech,3
C210,E04,2020-01-11T13:49:00Z,251,77,tech,2
C211,E04,2020-11-05T23:09:36Z,268,88,tech,1
C212,E04,2020-07-18T18:37:46Z,138,69,tech,4
C213,E04,2020-12-19T19:30:23Z,163,99,tech,4
C214,E04,2020-12-28T03:57:09Z,133,38,tech,4
C215,E04,2020-02-08T22:25:13Z,228,75,returns,2
C216,E04,2020-10-03T01:13:49Z,113,79,sales,5
C217,E04,2020-12-04T01:46:22Z,137,74,tech,4
C218,E04,2020-11-14T06:18:25Z,227,61,other,2
C219,E04,2020-08-16T21:31:56Z,207,72,returns,3
C220,E04,2020-11-20T10:24:03Z,211,86,tech,3
C221,E04,2020-11-03T10:25:39Z,217,97,tech,2
C222,E04,2020-01-08T14:09:17Z,199,35,tech,3
C223,E04,2020-11-21T18:25:51Z,217,60,tech,2
C224,E04,2020-06-15T19:20:03Z,174,76,sales,4
C225,E04,2020-11-18T12:13:44Z,116,66,returns,5
C226,E04,2020-02-19T02:16:36Z,83,29,tech,5
C227,E04,2020-11-11T21:38:29Z,168,45,other,4
C228,E04,2020-01-23T08:10:18Z,229,81,sales,3
C229,E04,2020-09-21T12:39:00Z,215,84,tech,2
C230,E04,2020-10-22T18:37:42Z,242,81,tech,2
C231,E04,2020-06-19T07:43:52Z,167,80,tech,4
C232,E04,2020-05-06T00:40:43Z,72,101,returns,5
C233,E04,2020-09-02T13:53:05Z,191,87,other,3
C234,E04,2020-09-05T10:35:04Z,225,78,tech,2
C235,E04,2020-07-04T17:03:43Z,260,84,returns,1
C236,E04,2020-06-12T18:58:56Z,187,63,tech,3
C237,E04,2020-12-16T11:46:44Z,173,46,tech,3
C238,E04,2020-07-16T09:52:17Z,23,42,tech,5
C239,E04,2020-05-15T15:07:39Z,225,94,tech,2
C240,E04,2020-10-22T15:04:18Z,187,105,tech,3
C241,E04,2020-07-03T18:06:47Z,140,61,other,4
C242,E04,2020-11-21T02:52:34Z,188,58,sales,3
C243,E04,2020-10-12T13:40:40Z,160,42,sales,4
C244,E04,2020-06-01T17:51:18Z,222,82,returns,2
C245,E04,2020-10-17T22:44:35Z,170,80,returns,3
C246,E04,2020-03-04T18:50:15Z,207,102,tech,2
C247,E04,2020-12-09T18:53:30Z,125,77,other,4
C248,E04,2020-08-20T13:58:23Z,260,79,tech,1
C249,E04,2020-05-23T17:04:11Z,133,56,tech,4
C250,E04,2020-06-20T20:35:53Z,115,82,sales,5
C251,E04,2020-10-12T13:23:19Z,190,65,tech,3
C252,E04,2020-08-02T08:14:47Z,123,70,tech,4
C253,E04,2020-11-25T01:02:49Z,64,61,returns,5
C254,E04,2020-01-03T23:27:20Z,178,76,tech,3
C255,E04,2020-01-18T11:15:01Z,181,88,other,3
C256,E04,2020-07-24T10:12:59Z,178,81,returns,3
C257,E04,2020-11-13T17:38:42Z,180,94,tech,3
C258,E04,2020-12-27T00:16:22Z,157,70,tech,3
C259,E04,2020-06-16T08:06:54Z,154,101,returns,4
C260,E04,2020-08-25T10:28:49Z,242,98,tech,1
C261,E04,2020-06-30T23:51:27Z,170,47,sales,4
C262,E04,2020-11-09T03:44:31Z,117,46,returns,4
C263,E04,2020-07-11T02:45:11Z,230,73,returns,2
C264,E04,2020-07-01T16:53:27Z,188,103,tech,3
C265,E05,2020-07-15T17:18:35Z,141,48,returns,4
C266,E05,2020-12-24T05:26:29Z,272,62,tech,1
C267,E05,2020-05-08T07:00:35Z,186,42,other,4
C268,E05,2020-12-25T05:38:34Z,154,84,tech,4
C269,E05,2020-03-03T00:46:35Z,194,31,tech,3
C270,E05,2020-12-03T04:40:29Z,148,42,tech,4
C271,E05,2020-05-20T20:52:29Z,151,46,tech,4
C272,E05,2020-06-29T17:49:23Z,241,65,tech,2
C273,E05,2020-08-23T20:15:38Z,214,41,tech,2
C274,E05,2020-10-30T01:09:35Z,249,169,returns,2
C275,E05,2020-10-15T01:19:12Z,155,35,tech,4
C276,E05,2020-02-05T00:57:33Z,194,68,sales,3
C277,E05,2020-12-15T05:08:11Z,127,65,tech,4
C278,E05,2020-03-24T22:00:28Z,122,64,returns,4
C279,E05,2020-04-24T03:58:02Z,225,52,sales,2
C280,E05,2020-02-07T22:09:06Z,269,74,returns,2
C281,E05,2020-06-09T20:02:48Z,205,38,tech,3
C282,E05,2020-12-08T02:52:06Z,280,65,tech,1
C283,E05,2020-01-12T13:18:32Z,236,41,returns,2
C284,E05,2020-06-29T07:56:03Z,222,46,sales,3
C285,E05,2020-02-13T03:15:04Z,207,47,returns,3
C286,E05,2020-02-25T02:58:24Z,183,31,returns,4
C287,E05,2020-01-06T12:01:26Z,171,18,tech,3
C288,E05,2020-07-17T09:23:17Z,112,35,returns,5
C289,E05,2020-02-08T15:05:12Z,176,23,returns,4
C290,E05,2020-03-01T00:23:15Z,200,26,sales,3
C291,E05,2020-07-24T00:18:51Z,209,36,tech,2
C292,E05,2020-03-15T20:24:48Z,168,24,tech,4
C293,E05,2020-12-10T04:16:44Z,128,37,returns,4
C294,E05,2020-08-26T04:49:44Z,180,59,tech,3
C295,E05,2020-12-24T18:34:02Z,217,33,tech,3
C296,E05,2020-09-16T00:29:58Z,165,19,tech,4
C297,E05,2020-08-03T03:18:52Z,115,32,tech,5
C298,E05,2020-03-04T21:28:33Z,227,69,returns,2
C299,E05,2020-03-27T03:26:47Z,92,20,tech,5
C300,E05,2020-09-24T20:47:09Z,271,86,tech,1
C301,E05,2020-02-18T01:16:39Z,242,63,returns,2
C302,E05,2020-11-23T06:02:46Z,214,36,tech,2
C303,E05,2020-04-10T03:55:04Z,183,27,sales,4
C304,E05,2020-09-01T20:41:14Z,175,52,tech,4
C305,E05,2020-12-27T01:04:15Z,250,61,returns,2
C306,E05,2020-02-06T19:27:17Z,228,64,returns,2
C307,E05,2020-03-30T11:23:29Z,129,41,other,5
C308,E05,2020-01-26T15:19:23Z,165,46,tech,4
C309,E05,2020-05-11T06:40:57Z,146,42,tech,4
C310,E05,2020-02-25T05:00:00Z,115,37,tech,5
C311,E05,2020-02-25T13:02:01Z,186,62,returns,4
C312,E05,2020-02-25T14:17:57Z,172,25,tech,4
C313,E05,2020-03-04T02:33:42Z,223,73,other,3
C314,E05,2020-08-11T21:57:37Z,131,33,returns,4
C315,E05,2020-09-09T21:40:44Z,87,60,returns,5
C316,E05,2020-04-27T12:45:06Z,212,58,tech,3
C317,E05,2020-04-26T00:43:11Z,151,54,other,4
C318,E05,2020-07-31T18:11:31Z,229,73,tech,2
C319,E05,2020-08-25T07:30:45Z,180,35,tech,3
C320,E05,2020-04-12T23:12:02Z,116,19,tech,5
C321,E05,2020-12-26T04:55:46Z,162,48,tech,4
C322,E05,2020-09-04T20:04:46Z,207,81,sales,3
C323,E05,2020-09-10T01:43:38Z,199,49,other,3
C324,E05,2020-04-19T14:02:59Z,173,25,sales,4
C325,E05,2020-08-04T03:41:17Z,206,51,returns,3
C326,E05,2020-02-02T05:45:39Z,218,33,tech,3
C327,E05,2020-11-20T04:13:42Z,178,53,tech,3
C328,E05,2020-07-16T12:49:02Z,147,55,tech,4
C329,E06,2020-01-16T20:52:21Z,192,29,returns,4
C330,E06,2020-07-13T12:42:00Z,109,21,sales,5
C331,E06,2020-11-21T03:19:00Z,193,19,sales,4
C332,E06,2020-05-15T19:15:46Z,214,25,tech,2
C333,E06,2020-11-14T17:35:34Z,207,31,sales,3
C334,E06,2020-06-06T11:49:35Z,197,35,returns,3
C335,E06,2020-01-26T03:54:19Z,170,48,tech,4
C336,E06,2020-04-10T00:29:43Z,150,46,tech,4
C337,E06,2020-02-03T16:23:59Z,230,45,sales,3
C338,E06,2020-07-31T11:50:26Z,188,32,returns,3
C339,E06,2020-11-27T01:25:42Z,148,33,returns,4
C340,E06,2020-09-25T14:44:34Z,210,48,tech,2
C341,E06,2020-03-25T19:50:36Z,238,54,sales,2
C342,E06,2020-04-20T23:06:29Z,205,81,tech,2
C343,E06,2020-07-30T06:56:47Z,178,37,tech,4
C344,E06,2020-12-03T19:40:45Z,94,15,returns,5
C345,E06,2020-02-27T11:36:41Z,227,44,returns,2
C346,E06,2020-06-17T12:28:47Z,207,62,tech,3
C347,E06,2020-05-16T11:26:31Z,76,15,returns,5
C348,E06,2020-04-16T20:22:57Z,224,66,tech,3
C349,E06,2020-07-28T10:31:32Z,212,45,tech,2
C350,E06,2020-03-15T07:20:44Z,192,58,other,3
C351,E06,2020-06-10T10:34:50Z,278,69,returns,1
C352,E06,2020-11-14T17:00:09Z,132,41,returns,4
C353,E06,2020-04-03T07:29:59Z,215,57,tech,3
C354,E06,2020-02-23T03:52:17Z,154,39,returns,4
C355,E06,2020-03-07T06:01:52Z,211,33,tech,3
C356,E06,2020-06-10T08:18:48Z,219,58,returns,2
C357,E06,2020-09-04T23:37:50Z,199,37,other,3
C358,E06,2020-05-04T21:59:53Z,222,38,tech,3
C359,E06,2020-07-22T16:37:43Z,179,44,returns,4
C360,E06,2020-05-16T21:51:58Z,152,51,tech,4
C361,E06,2020-07-23T22:30:46Z,135,24,other,4
C362,E06,2020-03-03T19:57:18Z,261,34,sales,2
C363,E06,2020-03-20T16:02:55Z,161,28,tech,4
C364,E06,2020-10-04T16:29:07Z,183,64,returns,3
C365,E06,2020-05-18T20:42:25Z,163,23,tech,4
C366,E06,2020-11-22T02:53:01Z,184,35,other,4
C367,E06,2020-02-02T11:35:33Z,213,82,returns,2
C368,E06,2020-11-02T06:54:05Z,141,34,returns,4
C369,E06,2020-04-14T16:20:54Z,146,51,returns,4
C370,E06,2020-01-15T07:04:47Z,53,23,returns,5
C371,E06,2020-09-15T14:29:37Z,252,45,returns,2
C372,E06,2020-09-20T03:18:02Z,90,33,sales,5
C373,E06,2020-01-18T13:36:56Z,185,36,tech,4
C374,E06,2020-01-25T19:52:28Z,254,68,tech,2
C375,E06,2020-01-25T13:00:37Z,252,68,sales,2
C376,E06,2020-08-28T12:36:09Z,171,49,tech,3
C377,E06,2020-09-14T18:44:42Z,198,36,tech,4
C378,E06,2020-07-07T19:33:56Z,158,31,tech,4
C379,E06,2020-05-06T10:12:45Z,223,47,returns,3
C380,E06,2020-08-31T08:49:58Z,255,77,returns,1
C381,E06,2020-10-03T04:12:16Z,190,63,tech,3
C382,E06,2020-01-28T15:23:53Z,257,48,tech,2
C383,E06,2020-06-22T04:10:36Z,245,85,tech,2
C384,E06,2020-08-26T11:14:16Z,191,25,tech,3
C385,E06,2020-03-04T23:36:32Z,227,55,tech,2
C386,E06,2020-04-13T14:44:27Z,157,48,sales,4
C387,E06,2020-05-29T04:18:00Z,150,29,tech,4
C388,E06,2020-08-04T01:42:22Z,257,69,tech,1
C389,E06,2020-05-17T15:57:25Z,194,30,returns,3
C390,E06,2020-01-07T14:33:22Z,204,17,returns,3
C391,E06,2020-12-18T12:00:23Z,162,51,tech,4
C392,E06,2020-12-03T23:53:51Z,189,48,tech,3
C393,E06,2020-06-30T22:05:58Z,247,50,tech,2
C394,E06,2020-09-06T18:58:20Z,206,80,returns,3
C395,E06,2020-06-01T17:47:39Z,114,10,tech,5
C396,E06,2020-07-19T15:02:13Z,219,81,tech,2
C397,E06,2020-05-20T18:50:28Z,70,47,returns,5
C398,E06,2020-05-12T03:34:15Z,220,53,returns,2
C399,E07,2020-10-14T03:54:41Z,226,51,sales,3
C400,E07,2020-02-23T22:29:33Z,180,94,sales,4
C401,E07,2020-05-25T05:19:29Z,167,57,returns,4
C402,E07,2020-01-15T14:14:21Z,183,44,tech,4
C403,E07,2020-06-27T10:13:51Z,120,64,returns,5
C404,E07,2020-06-24T01:31:04Z,70,20,returns,5
C405,E07,2020-05-10T17:42:49Z,238,58,returns,2
C406,E07,2020-02-24T17:27:04Z,254,83,other,2
C407,E07,2020-12-14T23:51:16Z,120,24,tech,4
C408,E07,2020-02-09T08:52:34Z,176,37,tech,4
C409,E07,2020-08-20T17:06:46Z,152,59,other,4
C410,E07,2020-10-04T02:58:41Z,111,66,returns,5
C411,E07,2020-02-20T13:24:55Z,137,46,tech,4
C412,E07,2020-05-03T01:12:41Z,158,48,sales,4
C413,E07,2020-05-12T23:42:52Z,124,36,tech,5
C414,E07,2020-10-04T23:45:10Z,107,35,returns,5
C415,E07,2020-01-23T22:15:10Z,194,61,tech,3
C416,E07,2020-02-14T04:33:51Z,233,91,other,3
C417,E07,2020-05-20T05:23:20Z,132,76,returns,4
C418,E07,2020-07-22T19:19:23Z,230,84,tech,3
C419,E07,2020-10-01T04:22:12Z,140,50,returns,4
C420,E07,2020-01-18T09:45:04Z,196,54,other,4
C421,E07,2020-01-12T16:08:10Z,215,42,sales,3
C422,E07,2020-11-29T17:38:10Z,184,46,sales,4
C423,E07,2020-10-25T08:59:53Z,209,73,returns,3
C424,E07,2020-08-07T22:19:40Z,139,29,other,5
C425,E07,2020-09-25T13:44:34Z,157,152,tech,4
C426,E07,2020-08-04T09:01:44Z,222,60,tech,3
C427,E07,2020-10-29T00:33:24Z,171,26,tech,3
C428,E07,2020-01-22T14:31:58Z,126,76,tech,5
C429,E07,2020-07-06T01:33:35Z,214,58,tech,3
C430,E07,2020-01-18T14:52:32Z,205,46,returns,3
C431,E07,2020-06-05T13:54:20Z,214,92,other,2
C432,E07,2020-03-24T00:46:53Z,233,91,tech,2
C433,E07,2020-07-19T09:06:53Z,128,30,returns,5
C434,E07,2020-08-25T15:39:24Z,157,21,tech,4
C435,E07,2020-10-27T18:52:37Z,198,77,other,3
C436,E07,2020-04-12T04:06:58Z,129,37,tech,4
C437,E07,2020-10-02T02:57:02Z,164,34,tech,4
C438,E07,2020-05-19T10:19:47Z,262,71,tech,1
C439,E07,2020-10-20T08:42:48Z,194,43,returns,3
C440,E07,2020-09-21T23:50:48Z,112,54,other,5
C441,E07,2020-11-10T02:27:45Z,189,36,returns,3
C442,E07,2020-01-20T05:19:58Z,154,63,sales,4
C443,E07,2020-08-01T01:13:40Z,218,81,sales,3
C444,E07,2020-04-05T01:49:31Z,189,40,sales,4
C445,E07,2020-11-29T06:29:20Z,213,70,returns,3
C446,E07,2020-07-21T17:52:08Z,167,42,tech,4
C447,E07,2020-09-08T21:15:47Z,265,64,other,1
C448,E07,2020-08-17T13:59:42Z,272,94,other,1
C449,E07,2020-04-15T21:09:06Z,250,79,tech,2
C450,E07,2020-10-05T07:38:09Z,118,46,sales,5
C451,E07,2020-06-19T18:03:29Z,245,169,other,3
C452,E07,2020-11-05T19:56:25Z,186,31,returns,4
C453,E07,2020-07-08T07:01:55Z,148,41,tech,4
C454,E07,2020-10-20T12:59:19Z,222,174,tech,3
C455,E07,2020-06-30T15:15:28Z,269,62,tech,1
C456,E07,2020-09-17T01:27:33Z,239,47,tech,2
C457,E07,2020-05-21T08:02:34Z,223,42,sales,3
C458,E07,2020-02-10T13:18:31Z,89,37,returns,5
C459,E07,2020-04-05T01:42:24Z,166,30,tech,4
C460,E07,2020-08-18T04:28:38Z,258,73,tech,2
C461,E07,2020-10-10T06:55:41Z,270,63,returns,2
C462,E07,2020-04-29T20:18:23Z,108,45,tech,5
C463,E07,2020-03-01T13:45:50Z,277,81,returns,2
C464,E07,2020-03-04T11:55:38Z,133,52,returns,5
C465,E07,2020-12-13T10:58:04Z,167,76,returns,4
C466,E07,2020-10-13T11:27:22Z,200,64,tech,3
